,Value
bs0_1_0,18671016350.0
bs0_1_1,18704676350.0
bs0_1_2,18796306350.0
bs0_1_3,18692606350.0
bs0_1_4,18671356350.0
bs0_1_5,18646536350.0
bs0_1_6,17386666350.0
bs0_1_7,17844646350.0
bs0_1_8,17429336350.0
bs0_1_9,18580236350.0
bs0_1_10,18611516350.0
bs0_1_11,18409046350.0
bs0_1_12,18643986350.0
bs0_1_13,18679856350.0
bs0_1_14,18698726350.0
bs0_1_15,17011646350.0
bs0_1_16,17027116350.0
bs0_1_17,17602396350.0
bs0_1_18,18352776350.0
bs0_1_19,18236666350.0
bs0_1_20,18258256350.0
bs0_1_21,18456816350.0
bs0_1_22,18482996350.0
bs0_1_23,18524816350.0
bs0_2_0,21197094965.0
bs0_2_1,21235308965.0
bs0_2_2,21339335965.0
bs0_2_3,21221605965.0
bs0_2_4,21197480965.0
bs0_2_5,21169302965.0
bs0_2_6,19738979965.0
bs0_2_7,20258921965.0
bs0_2_8,19787422965.0
bs0_2_9,21094032965.0
bs0_2_10,21129544965.0
bs0_2_11,20899681965.0
bs0_2_12,21166407965.0
bs0_2_13,21207130965.0
bs0_2_14,21228553965.0
bs0_2_15,19313221965.0
bs0_2_16,19330784965.0
bs0_2_17,19983896965.0
bs0_2_18,20835798965.0
bs0_2_19,20703979965.0
bs0_2_20,20728490965.0
bs0_2_21,20953914965.0
bs0_2_22,20983636965.0
bs0_2_23,21031114965.0
bs0_3_0,23723173580.0
bs0_3_1,23765941580.0
bs0_3_2,23882365580.0
bs0_3_3,23750605580.0
bs0_3_4,23723605580.0
bs0_3_5,23692069580.0
bs0_3_6,22091293580.0
bs0_3_7,22673197580.0
bs0_3_8,22145509580.0
bs0_3_9,23607829580.0
bs0_3_10,23647573580.0
bs0_3_11,23390317580.0
bs0_3_12,23688829580.0
bs0_3_13,23734405580.0
bs0_3_14,23758381580.0
bs0_3_15,21614797580.0
bs0_3_16,21634453580.0
bs0_3_17,22365397580.0
bs0_3_18,23318821580.0
bs0_3_19,23171293580.0
bs0_3_20,23198725580.0
bs0_3_21,23451013580.0
bs0_3_22,23484277580.0
bs0_3_23,23537413580.0
bs0_4_0,26249252195.0
bs0_4_1,26296574195.0
bs0_4_2,26425395195.0
bs0_4_3,26279605195.0
bs0_4_4,26249730195.0
bs0_4_5,26214836195.0
bs0_4_6,24443607195.0
bs0_4_7,25087473195.0
bs0_4_8,24503596195.0
bs0_4_9,26121626195.0
bs0_4_10,26165602195.0
bs0_4_11,25880953195.0
bs0_4_12,26211251195.0
bs0_4_13,26261680195.0
bs0_4_14,26288209195.0
bs0_4_15,23916373195.0
bs0_4_16,23938122195.0
bs0_4_17,24746898195.0
bs0_4_18,25801844195.0
bs0_4_19,25638607195.0
bs0_4_20,25668960195.0
bs0_4_21,25948112195.0
bs0_4_22,25984918195.0
bs0_4_23,26043712195.0
bs0_5_0,28775330810.0
bs0_5_1,28827206810.0
bs0_5_2,28968424810.0
bs0_5_3,28808604810.0
bs0_5_4,28775854810.0
bs0_5_5,28737602810.0
bs0_5_6,26795920810.0
bs0_5_7,27501748810.0
bs0_5_8,26861682810.0
bs0_5_9,28635422810.0
bs0_5_10,28683630810.0
bs0_5_11,28371588810.0
bs0_5_12,28733672810.0
bs0_5_13,28788954810.0
bs0_5_14,28818036810.0
bs0_5_15,26217948810.0
bs0_5_16,26241790810.0
bs0_5_17,27128398810.0
bs0_5_18,28284866810.0
bs0_5_19,28105920810.0
bs0_5_20,28139194810.0
bs0_5_21,28445210810.0
bs0_5_22,28485558810.0
bs0_5_23,28550010810.0
bs0_6_0,31301409425.0
bs0_6_1,31357839425.0
bs0_6_2,31511454425.0
bs0_6_3,31337604425.0
bs0_6_4,31301979425.0
bs0_6_5,31260369425.0
bs0_6_6,29148234425.0
bs0_6_7,29916024425.0
bs0_6_8,29219769425.0
bs0_6_9,31149219425.0
bs0_6_10,31201659425.0
bs0_6_11,30862224425.0
bs0_6_12,31256094425.0
bs0_6_13,31316229425.0
bs0_6_14,31347864425.0
bs0_6_15,28519524425.0
bs0_6_16,28545459425.0
bs0_6_17,29509899425.0
bs0_6_18,30767889425.0
bs0_6_19,30573234425.0
bs0_6_20,30609429425.0
bs0_6_21,30942309425.0
bs0_6_22,30986199425.0
bs0_6_23,31056309425.0
bs0_7_0,33827488040.0
bs0_7_1,33888472040.0
bs0_7_2,34054484040.0
bs0_7_3,33866604040.0
bs0_7_4,33828104040.0
bs0_7_5,33783136040.0
bs0_7_6,31500548040.0
bs0_7_7,32330300040.0
bs0_7_8,31577856040.0
bs0_7_9,33663016040.0
bs0_7_10,33719688040.0
bs0_7_11,33352860040.0
bs0_7_12,33778516040.0
bs0_7_13,33843504040.0
bs0_7_14,33877692040.0
bs0_7_15,30821100040.0
bs0_7_16,30849128040.0
bs0_7_17,31891400040.0
bs0_7_18,33250912040.0
bs0_7_19,33040548040.0
bs0_7_20,33079664040.0
bs0_7_21,33439408040.0
bs0_7_22,33486840040.0
bs0_7_23,33562608040.0
bs0_8_0,36353566655.0
bs0_8_1,36419104655.0
bs0_8_2,36597513655.0
bs0_8_3,36395603655.0
bs0_8_4,36354228655.0
bs0_8_5,36305902655.0
bs0_8_6,33852861655.0
bs0_8_7,34744575655.0
bs0_8_8,33935942655.0
bs0_8_9,36176812655.0
bs0_8_10,36237716655.0
bs0_8_11,35843495655.0
bs0_8_12,36300937655.0
bs0_8_13,36370778655.0
bs0_8_14,36407519655.0
bs0_8_15,33122675655.0
bs0_8_16,33152796655.0
bs0_8_17,34272900655.0
bs0_8_18,35733934655.0
bs0_8_19,35507861655.0
bs0_8_20,35549898655.0
bs0_8_21,35936506655.0
bs0_8_22,35987480655.0
bs0_8_23,36068906655.0
bs0_9_0,38879645270.0
bs0_9_1,38949737270.0
bs0_9_2,39140543270.0
bs0_9_3,38924603270.0
bs0_9_4,38880353270.0
bs0_9_5,38828669270.0
bs0_9_6,36205175270.0
bs0_9_7,37158851270.0
bs0_9_8,36294029270.0
bs0_9_9,38690609270.0
bs0_9_10,38755745270.0
bs0_9_11,38334131270.0
bs0_9_12,38823359270.0
bs0_9_13,38898053270.0
bs0_9_14,38937347270.0
bs0_9_15,35424251270.0
bs0_9_16,35456465270.0
bs0_9_17,36654401270.0
bs0_9_18,38216957270.0
bs0_9_19,37975175270.0
bs0_9_20,38020133270.0
bs0_9_21,38433605270.0
bs0_9_22,38488121270.0
bs0_9_23,38575205270.0
bs0_10_0,41405723885.0
bs0_10_1,41480369885.0
bs0_10_2,41683572885.0
bs0_10_3,41453602885.0
bs0_10_4,41406477885.0
bs0_10_5,41351435885.0
bs0_10_6,38557488885.0
bs0_10_7,39573126885.0
bs0_10_8,38652115885.0
bs0_10_9,41204405885.0
bs0_10_10,41273773885.0
bs0_10_11,40824766885.0
bs0_10_12,41345780885.0
bs0_10_13,41425327885.0
bs0_10_14,41467174885.0
bs0_10_15,37725826885.0
bs0_10_16,37760133885.0
bs0_10_17,39035901885.0
bs0_10_18,40699979885.0
bs0_10_19,40442488885.0
bs0_10_20,40490367885.0
bs0_10_21,40930703885.0
bs0_10_22,40988761885.0
bs0_10_23,41081503885.0
bs1_1_0,27457377112.5
bs1_1_1,27506877112.5
bs1_1_2,27641627112.5
bs1_1_3,27489127112.5
bs1_1_4,27457877112.5
bs1_1_5,27421377112.5
bs1_1_6,25568627112.5
bs1_1_7,26242127112.5
