Variable,Value
b0_1_0,1.0
b0_1_1,-0.0
b0_1_2,0.0
b0_1_3,-0.0
b0_1_4,1.0
b0_1_5,-0.0
b0_1_6,-0.0
b0_1_7,-0.0
b0_1_8,1.0
b0_1_9,-0.0
b0_1_10,0.0
b0_1_11,-0.0
b0_1_12,-0.0
b0_1_13,-0.0
b0_1_14,0.0
b0_1_15,-0.0
b0_1_16,-0.0
b0_1_17,-0.0
b0_1_18,-0.0
b0_1_19,-0.0
b0_1_20,-0.0
b0_1_21,-0.0
b0_1_22,-0.0
b0_1_23,-0.0
b0_2_0,-0.0
b0_2_1,-0.0
b0_2_2,1.0
b0_2_3,0.0
b0_2_4,-0.0
b0_2_5,-0.0
b0_2_6,-0.0
b0_2_7,-0.0
b0_2_8,1.0
b0_2_9,0.0
b0_2_10,0.0
b0_2_11,-0.0
b0_2_12,-0.0
b0_2_13,1.0
b0_2_14,0.0
b0_2_15,-0.0
b0_2_16,-0.0
b0_2_17,-0.0
b0_2_18,-0.0
b0_2_19,0.0
b0_2_20,-0.0
b0_2_21,-0.0
b0_2_22,0.0
b0_2_23,-0.0
b0_3_0,1.0
b0_3_1,-0.0
b0_3_2,-0.0
b0_3_3,0.0
b0_3_4,-0.0
b0_3_5,-0.0
b0_3_6,0.0
b0_3_7,-0.0
b0_3_8,-0.0
b0_3_9,0.0
b0_3_10,0.0
b0_3_11,-0.0
b0_3_12,-0.0
b0_3_13,0.0
b0_3_14,0.0
b0_3_15,-0.0
b0_3_16,-0.0
b0_3_17,0.0
b0_3_18,-0.0
b0_3_19,0.0
b0_3_20,-0.0
b0_3_21,-0.0
b0_3_22,0.0
b0_3_23,1.0
b0_4_0,-0.0
b0_4_1,0.0
b0_4_2,-0.0
b0_4_3,0.0
b0_4_4,-0.0
b0_4_5,-0.0
b0_4_6,1.0
b0_4_7,1.0
b0_4_8,-0.0
b0_4_9,0.0
b0_4_10,0.0
b0_4_11,-0.0
b0_4_12,-0.0
b0_4_13,0.0
b0_4_14,0.0
b0_4_15,0.0
b0_4_16,1.0
b0_4_17,-0.0
b0_4_18,-0.0
b0_4_19,0.0
b0_4_20,-0.0
b0_4_21,-0.0
b0_4_22,0.0
b0_4_23,1.0
b0_5_0,-0.0
b0_5_1,0.0
b0_5_2,-0.0
b0_5_3,1.0
b0_5_4,-0.0
b0_5_5,-0.0
b0_5_6,0.0
b0_5_7,1.0
b0_5_8,-0.0
b0_5_9,0.0
b0_5_10,0.0
b0_5_11,-0.0
b0_5_12,-0.0
b0_5_13,0.0
b0_5_14,1.0
b0_5_15,0.0
b0_5_16,0.0
b0_5_17,1.0
b0_5_18,-0.0
b0_5_19,0.0
b0_5_20,-0.0
b0_5_21,0.0
b0_5_22,1.0
b0_5_23,0.0
